step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
111,400,111,1,222,0.008337874304,0.006664110315;0.004370902972;0.01397860963,0.00854435299;0.008131395618,biomass;glucose;product,T_run_2;T_run_1,0.012595,0,,,0.008337874304,0.012595,0.003830105335,0,
112,400,112,1,224,0.00814688977,0.006485663805;0.004435829324;0.01351917618,0.007910399044;0.008383380496,biomass;glucose;product,T_run_1;T_run_2,0.010685,0,,,0.00814688977,0.010685,0.004014311147,0,
113,400,113,1,226,0.007958041482,0.006318070551;0.00448303722;0.01307301667,0.008229520411;0.007686562553,biomass;glucose;product,T_run_2;T_run_1,0.010812,0,,,0.007958041482,0.010812,0.004185378271,0,
114,400,114,1,228,0.007765128893,0.006150794831;0.004495781104;0.01264881074,0.007447602559;0.008082655226,biomass;glucose;product,T_run_1;T_run_2,0.009679,0,,,0.007765128893,0.009679,0.004254675027,0,
115,400,115,1,230,0.007565256778,0.005976984807;0.004464458514;0.01225432701,0.007187598235;0.007942915322,biomass;glucose;product,T_run_1;T_run_2,0.009608,0,,,0.007565256778,0.009608,0.004171882326,0,
116,400,116,1,232,0.007360418868,0.005797302536;0.004390121702;0.01189383237,0.006909408938;0.007811428797,biomass;glucose;product,T_run_1;T_run_2,0.010013,0,,,0.007360418868,0.010013,0.003941039054,0,
117,400,117,1,234,0.007155969946,0.005617571389;0.004282694995;0.01156764345,0.007689127397;0.006622812496,biomass;glucose;product,T_run_2;T_run_1,0.010033,0,,,0.007155969946,0.010033,0.003612741986,0,
118,400,118,1,236,0.006958008126,0.005444856155;0.004156692705;0.01127247552,0.007576195019;0.006339821233,biomass;glucose;product,T_run_2;T_run_1,0.010629,0,,,0.006958008126,0.010629,0.003262519868,0,
119,400,119,1,238,0.006770839355,0.005283466449;0.004026420854;0.01100263076,0.007471631785;0.006070046924,biomass;glucose;product,T_run_2;T_run_1,0.010770,0,,,0.006770839355,0.010770,0.002962539486,0,
120,400,120,1,240,0.00659578689,0.005133172756;0.003902850115;0.0107513378,0.007373292681;0.005818281099,biomass;glucose;product,T_run_2;T_run_1,0.010325,0,,,0.00659578689,0.010325,0.002755060366,0,
121,400,121,1,242,0.006431476775,0.004989807585;0.003792745792;0.01051187695,0.005584626971;0.00727832658,biomass;glucose;product,T_run_1;T_run_2,0.010714,0,,,0.006431476775,0.010714,0.002639415849,0,
122,400,122,1,244,0.006275050034,0.004847422493;0.003699431864;0.01027829575,0.005366310397;0.007183789671,biomass;glucose;product,T_run_1;T_run_2,0.010261,0,,,0.006275050034,0.010261,0.002582142193,0,
