step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
71,800,71,1,213,1.223332607,0.003366786263;0.008250319105;0.003952288823;4.877761032,1.22445396;1.222428722;1.223115139,biomass;glucose;product;gp_nll,run_3;run_2;run_1,7.861207,0,,,1.223332607,7.861207,1.175720622,0,
72,800,72,1,216,1.213584085,0.003358486142;0.008199063324;0.003929195645;4.838849597,1.212707114;1.214683253;1.213361889,biomass;glucose;product;gp_nll,run_2;run_3;run_1,6.992467,0,,,1.213584085,6.992467,1.166039465,0,
73,800,73,1,219,1.203954187,0.003347822335;0.008148275296;0.003903564366;4.800417087,1.203727861;1.205029749;1.203104952,biomass;glucose;product;gp_nll,run_1;run_3;run_2,7.049676,0,,,1.203954187,7.049676,1.156479604,0,
74,800,74,1,222,1.194441143,0.003335044941;0.008097743852;0.003875671851;4.76245611,1.195491816;1.193620327;1.194211285,biomass;glucose;product;gp_nll,run_3;run_2;run_1,7.186284,0,,,1.194441143,7.186284,1.147039247,0,
75,800,75,1,225,1.185043215,0.003320293059;0.008047438543;0.003845687575;4.72495944,1.184810433;1.184251374;1.186067837,biomass;glucose;product;gp_nll,run_1;run_2;run_3,7.486359,0,,,1.185043215,7.486359,1.137716699,0,
76,800,76,1,228,1.17575871,0.003303709428;0.007997334657;0.003813783918;4.687920014,1.175523624;1.174996269;1.176756238,biomass;glucose;product;gp_nll,run_1;run_2;run_3,7.641042,0,,,1.17575871,7.641042,1.128510288,0,
77,800,77,1,231,1.166585966,0.003285340333;0.007947560387;0.00378004251;4.651330923,1.166349213;1.165853227;1.167555459,biomass;glucose;product;gp_nll,run_1;run_2;run_3,8.153068,0,,,1.166585966,8.153068,1.119418421,0,
78,800,78,1,234,1.157523391,0.003265530445;0.007897806077;0.00374481988;4.615185406,1.1568205;1.157285598;1.158464074,biomass;glucose;product;gp_nll,run_2;run_1;run_3,8.018612,0,,,1.157523391,8.018612,1.110439347,0,
79,800,79,1,237,1.148569393,0.003244323545;0.007848218015;0.003708191518;4.579476841,1.149480598;1.148331208;1.147896375,biomass;glucose;product;gp_nll,run_3;run_1;run_2,6.923843,0,,,1.148569393,6.923843,1.101571513,0,
80,800,80,1,240,1.13972243,0.003221862922;0.007798797242;0.003670323097;4.544198737,1.140603613;1.139079172;1.139484505,biomass;glucose;product;gp_nll,run_3;run_2;run_1,7.565397,0,,,1.13972243,7.565397,1.092813318,0,
