step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
77,800,77,1,231,0.003989343268,0.004663577612;0.004229498569;0.003074953624,0.003089276107;0.003058364344;0.005820389353,biomass;glucose;product,run_1;run_2;run_3,0.015929,0,,,0.003989343268,0.015929,0.01036742419,0,
78,800,78,1,234,0.003737764329,0.004425111497;0.003934261655;0.002853919834,0.002878086034;0.003032311999;0.005302894953,biomass;glucose;product,run_2;run_1;run_3,0.024573,0,,,0.003737764329,0.024573,0.01001245377,0,
79,800,79,1,237,0.003541430764,0.004220892282;0.00376203322;0.00264136679,0.004877468607;0.003014746056;0.002732077629,biomass;glucose;product,run_3;run_1;run_2,0.009512,0,,,0.003541430764,0.009512,0.01239871183,0,
80,800,80,1,240,0.003387717924,0.004032983399;0.003693701853;0.002436468521,0.004520336372;0.00261775254;0.003025064862,biomass;glucose;product,run_3;run_2;run_1,0.013706,0,,,0.003387717924,0.013706,0.01488589134,0,
81,800,81,1,243,0.00325533789,0.003841820349;0.003683404308;0.002240789012,0.002526223334;0.004198413375;0.00304137696,biomass;glucose;product,run_2;run_3;run_1,0.009081,0,,,0.00325533789,0.009081,0.01627536806,0,
82,800,82,1,246,0.003127697714,0.003644010382;0.003683588816;0.002055493944,0.003892335398;0.002449506678;0.003041251065,biomass;glucose;product,run_3;run_2;run_1,0.011305,0,,,0.003127697714,0.011305,0.01637334687,0,
83,800,83,1,249,0.003001399954,0.003457081212;0.003667728491;0.001879390159,0.003608692025;0.003010376816;0.002385131021,biomass;glucose;product,run_3;run_1;run_2,0.013514,0,,,0.003001399954,0.013514,0.01548839631,0,
84,800,84,1,252,0.002883078,0.003305527328;0.003635027626;0.001708679045,0.002944212341;0.00337088789;0.002334133768,biomass;glucose;product,run_1;run_3;run_2,0.018509,0,,,0.002883078,0.018509,0.01418685545,0,
85,800,85,1,255,0.002779688216,0.003198528608;0.003598972976;0.001541563065,0.002296062021;0.002845242273;0.003197760355,biomass;glucose;product,run_2;run_1;run_3,0.010718,0,,,0.002779688216,0.010718,0.01301895426,0,
86,800,86,1,258,0.002692531338,0.003118463951;0.003572187018;0.001386943044,0.002267504054;0.003088768644;0.002721321315,biomass;glucose;product,run_2;run_3;run_1,0.011308,0,,,0.002692531338,0.011308,0.01225913568,0,
