step,total_updates,epoch,batch_in_epoch,samples_seen,mean_loss,per_target_loss,per_process_loss,target_names,process_names,step_dt,rebuild_count,holdout_loss,holdout_label,epoch_mean_loss,epoch_time_seconds,grad_norm,n_failed_samples,failed_processes
88,400,88,1,264,0.0006205687337,0.0002179312635;0.001023206204,0.0005375367268;0.00063019529;0.0006939741843,biomass;glyco_frac,run_1;run_3;run_2,0.002301,0,,,0.0006205687337,0.002301,0.01183789667,0,
89,400,89,1,267,0.000579285311,0.0001800109305;0.0009785596914,0.0004977011982;0.0006441653115;0.0005959894232,biomass;glyco_frac,run_1;run_2;run_3,0.003008,0,,,0.000579285311,0.003008,0.01023610107,0,
90,400,90,1,270,0.0005408547582,0.0001448764665;0.0009368330499,0.0005643783661;0.0005985388996;0.0004596470089,biomass;glyco_frac,run_3;run_2;run_1,0.002196,0,,,0.0005408547582,0.002196,0.00852814349,0,
91,400,91,1,273,0.0005076086301,0.0001173780174;0.0008978392428,0.000536323228;0.0005609908223;0.0004255118399,biomass;glyco_frac,run_3;run_2;run_1,0.002954,0,,,0.0005076086301,0.002954,0.006922025868,0,
92,400,92,1,276,0.0004807107622,0.000100018491;0.0008614030335,0.0005334041585;0.0003965053025;0.0005122228256,biomass;glyco_frac,run_2;run_1;run_3,0.002459,0,,,0.0004807107622,0.002459,0.005656128891,0,
93,400,93,1,279,0.0004601794987,9.299874057e-05;0.0008273602569,0.0004919300186;0.0005156974915;0.0003729109861,biomass;glyco_frac,run_3;run_2;run_1,0.002437,0,,,0.0004601794987,0.002437,0.004963892603,0,
94,400,94,1,282,0.0004451269816,9.469682986e-05;0.0007955571333,0.0003542624823;0.0005062456884;0.000474872774,biomass;glyco_frac,run_1;run_2;run_3,0.002626,0,,,0.0004451269816,0.002626,0.004916599437,0,
95,400,95,1,285,0.0004341075411,0.0001023654596;0.0007658496225,0.0003396089559;0.0004602270953;0.000502486572,biomass;glyco_frac,run_1;run_3;run_2,0.002535,0,,,0.0004341075411,0.002535,0.005312373556,0,
96,400,96,1,288,0.0004254796205,0.0001128564242;0.0007381028168,0.0005015485804;0.0003277951047;0.0004470951764,biomass;glyco_frac,run_2;run_1;run_3,0.003151,0,,,0.0004254796205,0.003151,0.005858469745,0,
97,400,97,1,291,0.0004177139951,0.0001232376201;0.0007121903701,0.000434656109;0.0003177022464;0.0005007836298,biomass;glyco_frac,run_3;run_1;run_2,0.002256,0,,,0.0004177139951,0.002256,0.006350745105,0,
98,400,98,1,294,0.0004096119464,0.0001312299318;0.0006879939609,0.0004222716336;0.0003084213512;0.0004981428544,biomass;glyco_frac,run_3;run_1;run_2,0.003914,0,,,0.0004096119464,0.003914,0.006683721133,0,
99,400,99,1,297,0.0004004227379,0.0001354426866;0.0006654027892,0.000299348978;0.0004923772544;0.0004095419813,biomass;glyco_frac,run_1;run_2;run_3,0.002444,0,,,0.0004004227379,0.002444,0.006812986887,0,
100,400,100,1,300,0.000389867508,0.0001354219135;0.0006443131026,0.0002902111046;0.0004830759145;0.000396315505,biomass;glyco_frac,run_1;run_2;run_3,0.002467,0,,,0.000389867508,0.002467,0.006728948099,0,
